regiao,estado,mes,semana,mes_semana,febre,tosse,dor_garganta,dor_cabeca,dor_olhos,coriza,fadiga,nausea,diarreia,dor_peito,dor_muscular,dificuldade_respirar,cheiro_sabor,risco_idade,diabetes,hipertensao,doenca_respiratoria,doenca_cardiaca,depessao,cancer
Sul,PR,11,2,11_2,48,75,77,74,19,67,46,21,21,14,52,22,23,1281,320,784,287,200,232,79
Sudeste,SP,9,3,9_3,37,116,77,135,28,124,45,22,22,23,85,34,25,2271,600,1409,463,281,256,140
Sudeste,SP,9,4,9_4,42,80,72,131,24,119,51,34,29,17,74,36,21,2192,606,1398,546,291,275,127
Sudeste,SP,9,1,9_1,50,118,78,154,26,158,75,21,34,19,104,40,27,2235,589,1347,505,294,282,107
Sudeste,SP,9,2,9_2,44,115,71,163,35,142,61,27,38,24,72,52,23,2298,651,1397,521,315,323,126
Sudeste,SP,10,3,10_3,41,84,53,94,20,86,55,32,25,25,61,45,22,2230,614,1409,453,296,260,141
Sudeste,SP,10,4,10_4,56,106,77,99,19,104,44,14,14,12,69,37,22,2129,602,1347,519,297,273,120
Sudeste,SP,10,2,10_2,36,76,59,129,19,84,53,29,36,17,84,43,21,2171,622,1339,506,308,311,121
Sudeste,SP,11,3,11_3,55,137,127,109,24,124,61,22,27,19,64,43,22,2188,603,1393,471,302,260,142
Sudeste,SP,11,2,11_2,65,100,99,149,30,111,58,31,33,28,86,48,25,2174,627,1348,499,304,313,121
Sudeste,SP,10,1,10_1,35,84,58,119,18,102,51,23,25,19,64,38,24,2206,584,1339,499,304,286,111
Sudeste,SP,11,1,11_1,42,89,82,102,22,112,40,12,12,18,61,29,19,2194,573,1346,501,300,290,117
Sudeste,SP,11,4,11_4,61,89,77,114,27,97,54,30,28,19,74,31,21,2123,597,1350,501,308,274,113
Norte,AC,9,2,9_2,6,15,15,22,5,17,12,6,2,7,11,7,5,310,45,206,64,24,12,6
Norte,AC,9,1,9_1,17,26,16,38,7,21,12,2,3,6,12,7,9,292,61,209,72,23,11,6
Norte,AC,9,4,9_4,11,16,14,17,4,10,7,4,11,5,5,7,8,310,62,224,47,26,16,8
Norte,AC,10,4,10_4,21,24,22,32,4,11,9,7,9,8,11,9,7,291,58,215,48,23,16,7
Norte,AC,10,3,10_3,24,21,14,29,6,18,17,4,5,7,16,9,6,350,68,237,60,30,11,11
Norte,AC,11,2,11_2,14,10,12,22,5,8,6,5,3,5,15,8,3,308,50,211,60,26,14,7
Norte,AC,9,3,9_3,24,22,28,20,4,16,15,7,6,6,14,6,7,342,62,230,60,28,12,8
Norte,AC,10,2,10_2,11,13,13,21,4,12,10,5,3,5,9,4,3,293,46,201,62,23,13,7
Norte,AC,10,1,10_1,17,18,20,25,2,16,8,1,5,6,15,5,6,291,60,203,64,21,12,8
Norte,AC,11,1,11_1,15,12,14,22,7,10,11,3,2,3,10,3,6,278,57,209,64,23,9,7
Norte,AC,11,4,11_4,9,11,12,25,6,2,6,2,3,1,9,3,4,281,55,209,43,24,16,8
Norte,AC,11,3,11_3,11,9,9,23,3,7,7,8,8,3,4,4,7,321,66,232,52,28,9,11
Norte,AM,9,1,9_1,20,31,26,41,14,15,23,6,9,16,27,13,19,525,87,238,77,30,19,4
Norte,AM,10,4,10_4,50,58,48,50,17,46,37,20,17,17,38,16,16,497,91,206,55,26,18,13
Norte,AM,10,2,10_2,41,57,37,56,11,46,38,19,15,15,36,26,22,540,113,206,58,30,15,8
Norte,AM,10,1,10_1,26,26,31,53,16,34,26,10,9,14,34,10,24,509,89,234,75,29,20,6
Norte,AM,11,1,11_1,34,37,29,40,14,28,20,6,10,12,22,12,14,507,83,230,70,26,21,7
Norte,AM,9,4,9_4,31,44,25,58,14,32,37,15,14,19,39,14,17,523,98,214,56,28,18,12
Norte,AM,9,2,9_2,25,37,32,57,14,24,30,9,7,14,27,17,15,534,105,198,61,30,13,10
