mes,semana,mes_semana,regiao,estado,buscou_estabelecimento_saude,foi_internado,sem_atendimento,sedado_entubado,respondentes
10,2,10_2,Norte,AP,1,0,0,0,1
11,2,11_2,Norte,AP,3,0,0,0,3
11,4,11_4,Norte,AP,5,0,0,0,5
11,3,11_3,Norte,AP,11,0,0,0,11
11,3,11_3,Norte,AP,3,0,0,0,3
9,2,9_2,Norte,TO,8,0,0,0,8
9,3,9_3,Norte,TO,8,0,0,0,8
9,2,9_2,Norte,TO,17,0,0,0,17
9,3,9_3,Norte,TO,2,2,0,0,2
9,2,9_2,Norte,TO,2,2,0,2,2
9,1,9_1,Norte,TO,1,1,0,0,1
9,2,9_2,Norte,TO,1,1,0,0,1
10,4,10_4,Norte,TO,2,0,0,0,2
10,4,10_4,Norte,TO,8,0,0,0,8
10,1,10_1,Norte,TO,5,0,0,0,5
10,2,10_2,Norte,TO,2,2,0,0,2
11,2,11_2,Norte,TO,13,0,0,0,13
11,1,11_1,Norte,TO,2,0,0,0,2
11,1,11_1,Norte,TO,10,0,0,0,10
11,3,11_3,Norte,TO,5,0,0,0,5
11,4,11_4,Norte,TO,1,1,0,1,1
11,3,11_3,Norte,TO,3,0,0,0,3
11,2,11_2,Norte,TO,1,0,0,0,1
9,4,9_4,Norte,RR,13,0,0,0,13
9,1,9_1,Norte,RR,17,0,0,0,17
9,1,9_1,Norte,RR,3,0,0,0,3
9,2,9_2,Norte,RR,36,0,0,0,36
9,4,9_4,Norte,RR,10,0,0,0,10
10,4,10_4,Norte,RR,5,0,0,0,5
